x_m,y_m,can_overtake
-0.2430698,0.2290873,false
-0.4212379,0.1221564,false
-0.6010048,0.0432243,false
-0.7939696,-0.0104578,false
-0.9964543,-0.0296974,false
-1.1969026,-0.0089916,false
-1.3845617,0.0486919,false
-1.5612102,0.1502150,false
-1.7052946,0.2848413,false
-1.8174266,0.4467667,false
-1.8929412,0.6288339,false
-1.9328666,0.8206155,false
-2.0400000,1.0100000,false
-2.2400000,1.2600000,false
-2.3400000,1.5100000,false
-2.3400000,1.7600000,false
-2.2900000,2.0100000,false
-2.0900000,2.2600000,false
-1.8900000,2.5100000,false
-1.7900000,2.7600000,false
-1.6900000,3.0100000,false
-1.7400000,3.2600000,false
-1.6900000,3.5100000,false
-1.6400000,3.7600000,false
-1.4900000,4.0100000,false
-1.3400000,4.2600000,false
-1.2900000,4.5100000,false
-1.4245038,4.9622152,false
-1.5444279,5.1193472,false
-1.6786214,5.2656297,false
-1.8252199,5.3994724,false
-1.9821461,5.5195480,false
-2.1500845,5.6263143,false
-2.3249241,5.7174075,false
-2.5082069,5.7948703,false
-2.6962114,5.8586620,false
-2.8875765,5.9108642,false
-3.0830677,5.9544537,false
-3.2781601,5.9910232,false
-3.4745318,6.0235053,false
-3.6723678,6.0542362,false
-3.8682301,6.0846489,false
-4.0655771,6.1172505,false
-4.2611810,6.1536056,false
-4.4547099,6.1959528,false
-4.6479043,6.2470673,false
-4.8354016,6.3074212,false
-5.0211980,6.3805489,false
-5.1989261,6.4664385,false
-5.3692731,6.5681553,false
-5.5278922,6.6865289,false
-5.6708176,6.8230410,false
-5.7928438,6.9782961,false
-5.8874995,7.1522729,false
-5.9473954,7.3390482,false
-5.9696434,7.5370616,false
-5.9543225,7.7347701,false
-5.9031901,7.9299952,false
-5.8215189,8.1122345,false
-5.7142440,8.2816821,false
-5.5875134,8.4336834,false
-5.4442432,8.5717520,false
-5.2908190,8.6916155,false
-5.1210842,8.7963734,false
-4.9419029,8.8794586,true
-4.7536607,8.9411682,true
-4.5596860,8.9823560,true
-4.3630236,9.0051520,true
-4.1640671,9.0119333,true
-3.9657863,9.0047490,true
-3.7684326,8.9856540,true
-3.5711585,8.9560726,true
-3.3768455,8.9177354,true
-3.1835133,8.8713503,true
-2.9918219,8.8179178,true
-2.8025495,8.7584532,true
-2.6145349,8.6932169,true
-2.4288294,8.6230734,true
-2.2447306,8.5481577,true
-2.0625529,8.4688792,true
-1.8822821,8.3854316,true
-1.7039404,8.2979245,true
-1.5276726,8.2064543,true
-1.3535612,8.1109919,true
-1.1817062,8.0114393,true
-1.0125679,7.9078334,true
-0.8456773,7.7994883,true
-0.6829302,7.6871787,true
-0.5226539,7.5691116,true
-0.3673220,7.4466659,true
-0.2152396,7.3184378,true
-0.0678549,7.1855319,true
0.0750870,7.0475314,true
0.2132628,6.9045610,true
0.3461508,6.7570470,true
0.4739801,6.6046382,true
0.5960902,6.4480327,true
0.7126618,6.2869428,true
0.8232722,6.1218760,true
0.9278518,5.9528856,true
1.0262429,5.7801393,true
1.1181751,5.6040279,true
1.2036158,5.4244932,true
1.2822427,5.2420435,true
1.3539659,5.0566776,true
1.4185466,4.8686997,true
1.4757316,4.6785036,true
1.5253911,4.4858818,true
1.5670196,4.2918897,true
1.6005457,4.0956332,true
1.6254575,3.8989665,true
1.6417108,3.7003903,true
1.6488930,3.5023439,true
1.6467976,3.3031058,true
1.6351248,3.1051310,true
1.6134968,2.9073287,true
1.5817128,2.7111137,true
1.5396036,2.5174503,true
1.4863253,2.3250481,false
1.4228064,2.1391250,false
1.3459538,1.9534990,false
1.2579549,1.7757725,false
1.1582425,1.6055102,false
1.0445393,1.4403985,true
0.9202786,1.2855815,true
0.7867639,1.1403109,true
0.6455176,1.0023047,false
0.4985953,0.8685311,false
0.3514262,0.7369921,false
0.2077672,0.6059750,false
0.0640794,0.4748540,false
-0.0929022,0.3412157,false
